Date,Time of crash,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Weather,Pilot Experience,DelayMinutes (in mins),Aircraft Model,Aircraft Age,Investigation Completed,Incident Severity
28-09-1995,6:27:50,Paris,Cargo Air,F6279,Cargo,Cessna 172,REG67954,CN791,110,65,15,Engine failure mid-air.,Clear,19,30,Cessna 208,3,Yes,High
26-02-1990,6:09:01,New York,Military - U.S. Army,F8784,Domestic,Cessna 172,REG64321,CN744,295,24,12,Crash during takeoff.,Fog,16,5,Boeing 737,29,Yes,Critical
19-08-1989,5:51:44,Paris,Rescue Ops,F1822,International,F-16 Falcon,REG69829,CN236,238,85,16,Mid-air collision.,Snow,21,60,Antonov An-225,20,No,Critical
12-04-1984,23:55:30,Delhi,Commercial - AirFly,F5050,Training,Airbus A320,REG73517,CN741,123,35,14,Crash during landing.,Storm,16,10,Cessna 208,11,Yes,Medium
14-07-1983,7:24:44,London,Military - U.S. Army,F2052,Cargo,Cessna 172,REG53369,CN655,239,53,1,Engine failure mid-air.,Fog,25,60,Boeing 737,28,No,Critical
13-07-1970,11:19:48,Delhi,Rescue Ops,F9818,International,Cessna 172,REG38760,CN379,224,62,0,Crash during takeoff.,Storm,26,45,Airbus A380,27,No,Medium
02-12-2017,0:58:25,Paris,Cargo Air,F1444,Domestic,Cessna 172,REG27786,CN987,237,23,1,Bird strike reported.,Fog,21,5,Antonov An-225,11,No,Critical
18-12-1994,13:16:53,New York,Rescue Ops,F1317,Domestic,Boeing 747,REG39389,CN765,36,99,20,Crash during landing.,Clear,16,5,Boeing 737,20,Yes,Medium
29-04-1981,15:42:07,Paris,Military - U.S. Army,F8619,Training,Boeing 747,REG31992,CN720,59,99,5,Bird strike reported.,Clear,38,0,Cessna 208,19,No,Critical
17-10-1987,2:37:44,Sydney,Military - U.S. Army,F2669,Training,Airbus A320,REG25866,CN915,290,100,1,Bird strike reported.,Snow,28,45,Cessna 208,3,No,Low
08-09-2007,15:06:27,Tokyo,Rescue Ops,F3506,Cargo,Wright Flyer,REG78386,CN766,139,78,17,Crash during takeoff.,Fog,28,60,Cessna 208,11,Yes,Low
09-01-1995,14:15:48,Delhi,Cargo Air,F7209,Training,F-16 Falcon,REG74789,CN971,167,23,15,Engine failure mid-air.,Storm,17,10,Cessna 208,29,No,Low
07-05-2016,6:05:15,Sydney,Rescue Ops,F9004,International,Cessna 172,REG94659,CN828,252,57,0,Crash during landing.,Storm,15,15,Airbus A380,10,No,Critical
28-08-2019,16:22:27,Sydney,Cargo Air,F6419,Training,Cessna 172,REG45509,CN413,129,29,3,Engine failure mid-air.,Storm,8,45,Airbus A380,7,Yes,Critical
22-10-1994,23:37:48,Paris,Cargo Air,F5636,Domestic,Wright Flyer,REG48829,CN332,185,22,9,Crash during landing.,Snow,9,10,Boeing 737,2,No,Medium
15-01-2014,3:55:00,Paris,Commercial - AirFly,F8690,Cargo,Cessna 172,REG54657,CN288,27,32,15,Crash during landing.,Clear,26,15,Boeing 737,19,Yes,Medium
21-05-1983,18:19:05,London,Private - AeroClub,F7818,International,Airbus A320,REG59856,CN561,227,38,18,Crash during takeoff.,Storm,37,30,Boeing 737,20,Yes,Medium
06-12-1988,8:42:05,London,Military - U.S. Army,F3847,Domestic,Wright Flyer,REG10350,CN518,231,88,19,Crash during takeoff.,Storm,3,5,Cessna 208,23,No,Critical
21-05-1976,21:14:59,Tokyo,Cargo Air,F4241,Cargo,F-16 Falcon,REG81376,CN330,77,34,4,Crash during landing.,Clear,11,60,Cessna 208,20,No,Critical
26-02-1981,14:44:19,Sydney,Rescue Ops,F5460,Cargo,Cessna 172,REG20543,CN712,21,55,10,Mid-air collision.,Storm,2,0,Airbus A380,22,Yes,High
12-09-2021,1:48:48,London,Rescue Ops,F9502,Cargo,Boeing 747,REG33788,CN699,224,81,15,Crash during landing.,Fog,23,15,Cessna 208,11,Yes,Medium
04-08-1999,13:44:31,Tokyo,Rescue Ops,F1601,Cargo,F-16 Falcon,REG51224,CN358,166,14,12,Mid-air collision.,Clear,35,15,Antonov An-225,2,Yes,High
21-09-2014,20:28:48,New York,Military - U.S. Army,F5375,International,Boeing 747,REG67424,CN815,249,15,0,Mid-air collision.,Rain,11,10,Boeing 737,18,No,Low
27-02-1990,3:29:07,Sydney,Military - U.S. Army,F9165,Training,Airbus A320,REG45838,CN525,248,60,7,Crash during takeoff.,Snow,10,15,Airbus A380,30,Yes,Low
14-10-1994,13:21:59,Paris,Commercial - AirFly,F1042,Training,Boeing 747,REG86931,CN693,251,19,14,Mid-air collision.,Fog,23,10,Antonov An-225,15,No,Medium
05-06-1991,18:24:14,Delhi,Private - AeroClub,F6213,Cargo,Cessna 172,REG60604,CN779,78,63,1,Engine failure mid-air.,Snow,38,10,Boeing 737,28,No,Low
09-03-2017,14:00:46,London,Rescue Ops,F3529,Domestic,Cessna 172,REG44737,CN446,204,83,2,Bird strike reported.,Snow,25,10,Antonov An-225,28,Yes,Low
23-01-1991,20:43:58,Tokyo,Military - U.S. Army,F2480,Cargo,F-16 Falcon,REG93066,CN820,52,56,5,Bird strike reported.,Clear,3,10,Boeing 737,10,No,High
21-08-2008,4:15:33,Delhi,Cargo Air,F3950,International,Wright Flyer,REG20350,CN724,196,79,7,Crash during takeoff.,Snow,10,,Antonov An-225,21,No,Critical
27-11-1992,21:00:57,Delhi,Commercial - AirFly,F9955,International,F-16 Falcon,REG67898,CN453,154,81,13,Bird strike reported.,Fog,20,5,Antonov An-225,28,No,Low
13-04-1991,12:36:22,Paris,Commercial - AirFly,F5837,Domestic,Cessna 172,REG45976,CN108,290,87,1,Mid-air collision.,Fog,19,60,Airbus A380,20,No,Medium
22-01-1987,19:16:43,Sydney,Military - U.S. Army,F2591,Domestic,Boeing 747,REG67779,CN134,297,46,4,Crash during landing.,Storm,21,45,Antonov An-225,6,Yes,Medium
24-05-2018,11:33:32,Tokyo,Military - U.S. Army,F5210,Cargo,Boeing 747,REG54396,CN923,59,59,2,Engine failure mid-air.,Rain,26,60,Cessna 208,3,No,Low
22-09-1993,17:07:29,Tokyo,Commercial - AirFly,F7242,Training,F-16 Falcon,REG98452,CN339,242,3,19,Mid-air collision.,Storm,40,5,Boeing 737,21,No,High
19-08-2006,3:08:02,New York,Commercial - AirFly,F9071,Domestic,F-16 Falcon,REG40775,CN650,70,49,14,Bird strike reported.,Snow,27,30,Airbus A380,29,No,Low
25-11-2013,19:26:17,New York,Commercial - AirFly,F4559,Cargo,Cessna 172,REG40947,CN975,186,12,11,Mid-air collision.,Storm,4,15,Cessna 208,7,Yes,Critical
23-03-1978,21:13:41,Sydney,Cargo Air,F1349,Domestic,Boeing 747,REG41925,CN228,290,26,2,Mid-air collision.,Rain,38,5,Airbus A380,11,Yes,Low
16-11-1994,4:08:34,Tokyo,Military - U.S. Army,F2801,Domestic,Wright Flyer,REG11947,CN466,122,75,10,Crash during landing.,Rain,17,0,Airbus A380,24,No,Low
14-09-1975,15:28:49,Tokyo,Cargo Air,F2786,Cargo,Airbus A320,REG39038,CN729,23,93,16,Bird strike reported.,Fog,2,0,Antonov An-225,28,No,Critical
08-09-1979,15:45:58,Delhi,Private - AeroClub,F2323,Training,Airbus A320,REG29442,CN167,65,35,19,Mid-air collision.,Snow,21,15,Cessna 208,15,No,Low
07-04-1980,20:41:56,Paris,Military - U.S. Army,F8046,Cargo,Wright Flyer,REG64239,CN447,233,51,13,Crash during landing.,Storm,28,10,Cessna 208,12,Yes,Critical
09-01-1976,2:53:05,New York,Rescue Ops,F2582,Training,Wright Flyer,REG82924,CN161,288,71,10,Crash during landing.,Fog,23,60,Antonov An-225,28,Yes,High
13-11-2023,9:22:06,Paris,Cargo Air,F4485,International,Cessna 172,REG39392,CN967,56,44,17,Bird strike reported.,Clear,18,30,Airbus A380,26,No,Low
29-12-1993,0:11:17,Sydney,Commercial - AirFly,F6567,Training,F-16 Falcon,REG33777,CN990,74,72,12,Crash during landing.,Rain,2,0,Airbus A380,13,No,Critical
01-08-2000,5:23:19,Sydney,Commercial - AirFly,F2391,Domestic,Wright Flyer,REG30632,CN872,26,86,2,Bird strike reported.,Fog,28,15,Antonov An-225,14,No,Medium
19-12-2015,3:22:27,New York,Commercial - AirFly,F8972,Training,F-16 Falcon,REG38903,CN504,29,0,6,Bird strike reported.,Rain,9,60,Cessna 208,10,No,Low
11-09-1970,15:47:27,London,Military - U.S. Army,F7229,International,Airbus A320,REG83233,CN953,182,9,12,Crash during landing.,Fog,2,15,Boeing 737,28,No,Critical
11-06-2021,12:45:40,Delhi,Commercial - AirFly,F2887,Cargo,F-16 Falcon,REG52568,CN275,236,88,11,Crash during landing.,Fog,7,,Antonov An-225,19,No,Low
04-07-2005,9:47:21,London,Commercial - AirFly,F3754,Domestic,Airbus A320,REG92998,CN216,272,65,6,Bird strike reported.,Storm,10,5,Boeing 737,5,No,Medium
26-07-1985,19:09:48,Sydney,Private - AeroClub,F3902,Cargo,Cessna 172,REG83889,CN878,297,57,18,Mid-air collision.,Storm,21,5,Antonov An-225,3,No,Critical
02-03-1997,8:37:03,Tokyo,Cargo Air,F2215,Training,Cessna 172,REG69233,CN138,30,47,9,Crash during landing.,Clear,40,30,Antonov An-225,15,Yes,Critical
15-04-2021,20:12:20,Paris,Rescue Ops,F9214,International,F-16 Falcon,REG69050,CN205,176,91,2,Mid-air collision.,Rain,3,5,Antonov An-225,15,Yes,High
14-06-2003,9:24:26,Tokyo,Cargo Air,F1857,Training,F-16 Falcon,REG53213,CN196,286,86,12,Bird strike reported.,Storm,39,60,Airbus A380,11,Yes,Medium
20-05-2001,9:41:44,Sydney,Rescue Ops,F3112,Domestic,Boeing 747,REG83259,CN485,169,16,16,Crash during landing.,Fog,33,10,Boeing 737,12,No,Medium
20-03-1989,10:49:31,London,Military - U.S. Army,F3253,International,F-16 Falcon,REG48770,CN964,52,64,17,Mid-air collision.,Clear,22,60,Airbus A380,20,No,Medium
22-07-1984,5:53:44,Paris,Military - U.S. Army,F8170,Domestic,Cessna 172,REG57749,CN792,122,56,19,Bird strike reported.,Fog,15,30,Airbus A380,10,No,Medium
01-01-2003,21:36:28,Delhi,Commercial - AirFly,F7256,Cargo,Wright Flyer,REG36174,CN920,71,32,1,Crash during takeoff.,Storm,36,0,Boeing 737,10,Yes,Medium
22-06-1994,14:57:32,London,Rescue Ops,F2502,International,Cessna 172,REG55820,CN127,213,6,12,Mid-air collision.,Storm,16,15,Boeing 737,12,Yes,Low
04-08-1998,3:53:45,Sydney,Commercial - AirFly,F3392,International,F-16 Falcon,REG47601,CN949,242,89,4,Crash during takeoff.,Fog,40,0,Boeing 737,1,No,Medium
01-06-1983,17:46:38,Paris,Rescue Ops,F2821,Training,Wright Flyer,REG49472,CN224,25,30,13,Mid-air collision.,Fog,5,0,Antonov An-225,20,Yes,Medium
18-11-1982,9:27:00,Paris,Commercial - AirFly,F4941,Cargo,Wright Flyer,REG97080,CN784,44,67,11,Crash during landing.,Snow,35,30,Boeing 737,13,No,Low
16-09-2004,11:16:47,New York,Commercial - AirFly,F2106,Training,Wright Flyer,REG96127,CN743,54,98,18,Bird strike reported.,Rain,3,10,Cessna 208,27,Yes,Critical
06-12-2012,20:11:51,London,Private - AeroClub,F8498,Domestic,Boeing 747,REG36422,CN144,103,5,10,Bird strike reported.,Snow,26,60,Antonov An-225,9,Yes,Medium
02-09-1995,11:55:49,New York,Commercial - AirFly,F5476,Domestic,Boeing 747,REG67272,CN509,226,49,10,Engine failure mid-air.,Fog,32,10,Cessna 208,26,Yes,Critical
30-01-1977,13:38:52,London,Cargo Air,F5813,Training,F-16 Falcon,REG20494,CN435,152,39,14,Mid-air collision.,Fog,11,45,Antonov An-225,12,No,Low
18-08-2001,19:27:17,Sydney,Private - AeroClub,F2229,Cargo,Boeing 747,REG77251,CN920,82,3,4,Mid-air collision.,Fog,3,5,Boeing 737,8,No,High
07-05-2004,18:02:38,London,Rescue Ops,F7077,Training,Cessna 172,REG20077,CN687,71,67,11,Crash during takeoff.,Storm,18,5,Boeing 737,1,Yes,Critical
13-06-2016,12:58:35,New York,Commercial - AirFly,F5264,Cargo,Wright Flyer,REG90199,CN392,252,25,3,Engine failure mid-air.,Clear,29,5,Antonov An-225,3,No,High
29-10-1975,17:34:18,Tokyo,Military - U.S. Army,F3852,Training,Airbus A320,REG39391,CN224,103,17,7,Crash during takeoff.,Clear,24,30,Cessna 208,15,Yes,Low
25-11-1975,9:25:45,Sydney,Rescue Ops,F9612,Cargo,Cessna 172,REG85353,CN175,65,40,20,Crash during landing.,Fog,30,45,Cessna 208,5,Yes,Medium
24-10-2008,16:58:55,New York,Private - AeroClub,F9488,International,Boeing 747,REG31581,CN265,166,90,7,Bird strike reported.,Snow,19,60,Boeing 737,9,Yes,High
25-03-1981,20:19:39,Paris,Private - AeroClub,F9234,International,Airbus A320,REG86106,CN257,88,84,19,Mid-air collision.,Storm,37,0,Boeing 737,3,Yes,High
29-11-1988,18:26:39,Sydney,Private - AeroClub,F9159,Training,Boeing 747,REG73300,CN350,208,38,14,Crash during landing.,Clear,11,15,Antonov An-225,16,No,Medium
09-07-2000,19:09:20,Sydney,Commercial - AirFly,F6658,Cargo,Wright Flyer,REG58567,CN627,288,13,10,Engine failure mid-air.,Fog,8,10,Antonov An-225,8,Yes,Low
17-07-1974,9:24:55,Paris,Rescue Ops,F5067,International,Boeing 747,REG85718,CN838,161,24,5,Crash during takeoff.,Snow,30,15,Cessna 208,16,Yes,Low
12-04-2005,16:29:15,London,Cargo Air,F6781,Domestic,F-16 Falcon,REG46877,CN606,241,36,17,Crash during landing.,Clear,28,5,Cessna 208,24,No,Critical
31-10-2002,1:25:03,Paris,Cargo Air,F4189,Training,Airbus A320,REG47827,CN175,198,64,14,Mid-air collision.,Storm,40,45,Boeing 737,5,Yes,Critical
25-06-2003,10:35:23,London,Military - U.S. Army,F9341,Cargo,Airbus A320,REG15276,CN146,20,17,10,Crash during takeoff.,Snow,30,5,Airbus A380,11,No,Medium
03-04-2005,19:47:53,Tokyo,Cargo Air,F6511,Cargo,Airbus A320,REG49294,CN586,9,47,10,Crash during landing.,Fog,38,10,Boeing 737,20,No,High
24-11-2021,18:14:46,New York,Cargo Air,F8871,International,Airbus A320,REG92447,CN838,195,18,7,Crash during landing.,Snow,8,5,Boeing 737,15,No,Critical
03-08-1983,13:44:13,Delhi,Cargo Air,F8726,Domestic,Wright Flyer,REG77984,CN312,288,41,15,Mid-air collision.,Fog,21,5,Antonov An-225,30,No,High
19-09-1993,19:30:12,London,Commercial - AirFly,F5890,International,Boeing 747,REG47880,CN821,107,88,15,Bird strike reported.,Fog,23,30,Cessna 208,10,Yes,Critical
25-05-2005,11:49:51,London,Commercial - AirFly,F1689,Training,F-16 Falcon,REG55398,CN552,132,95,15,Engine failure mid-air.,Rain,35,10,Cessna 208,5,Yes,Medium
02-10-1991,1:42:57,Paris,Military - U.S. Army,F4814,Domestic,F-16 Falcon,REG64172,CN438,242,12,4,Crash during landing.,Snow,11,15,Antonov An-225,16,Yes,High
25-10-1998,9:41:03,New York,Cargo Air,F4804,Domestic,Wright Flyer,REG64773,CN957,91,4,12,Crash during takeoff.,Rain,19,0,Boeing 737,10,Yes,High
13-07-1995,14:41:34,Paris,Rescue Ops,F3198,Cargo,Boeing 747,REG35272,CN928,58,42,5,Crash during takeoff.,Storm,12,0,Cessna 208,26,No,Medium
29-09-1985,19:54:40,Delhi,Rescue Ops,F9442,Training,F-16 Falcon,REG62538,CN785,49,23,4,Crash during takeoff.,Storm,16,0,Cessna 208,13,Yes,Critical
14-12-1993,10:19:37,Sydney,Cargo Air,F1187,Training,Boeing 747,REG40972,CN163,61,59,9,Engine failure mid-air.,Fog,33,45,Cessna 208,23,Yes,High
22-12-2002,19:14:14,London,Rescue Ops,F3509,Cargo,Airbus A320,REG58971,CN525,282,60,17,Engine failure mid-air.,Rain,39,60,Boeing 737,17,No,High
03-01-1977,18:07:03,Paris,Cargo Air,F4312,International,Wright Flyer,REG53007,CN974,267,56,3,Engine failure mid-air.,Snow,32,0,Antonov An-225,26,Yes,Critical
02-11-1981,16:26:29,Paris,Private - AeroClub,F8575,Training,F-16 Falcon,REG61897,CN360,2,95,6,Mid-air collision.,Clear,3,15,Cessna 208,23,Yes,Low
11-03-1976,15:02:18,Delhi,Military - U.S. Army,F3218,Cargo,Boeing 747,REG60132,CN559,194,48,2,Mid-air collision.,Rain,23,0,Airbus A380,18,No,Medium
24-12-1989,0:48:01,Tokyo,Rescue Ops,F9920,Cargo,Airbus A320,REG59712,CN943,118,31,14,Bird strike reported.,Rain,18,5,Boeing 737,2,No,Low
05-08-1991,6:04:06,Paris,Private - AeroClub,F8314,Domestic,Wright Flyer,REG15798,CN511,225,29,17,Engine failure mid-air.,Clear,9,30,Cessna 208,8,No,High
03-04-1991,9:56:09,Sydney,Cargo Air,F4621,Cargo,Boeing 747,REG46064,CN162,286,75,5,Crash during takeoff.,Snow,32,0,Cessna 208,21,No,High
09-05-2007,13:09:19,Delhi,Military - U.S. Army,F9813,Cargo,Wright Flyer,REG39536,CN407,74,59,1,Mid-air collision.,Fog,27,30,Airbus A380,13,Yes,High
29-03-1988,10:41:05,Delhi,Commercial - AirFly,F2514,International,F-16 Falcon,REG45187,CN486,21,9,6,Mid-air collision.,Snow,14,15,Airbus A380,28,No,High
18-05-1971,6:59:12,Sydney,Private - AeroClub,F8846,International,Airbus A320,REG36805,CN506,123,70,10,Bird strike reported.,Fog,30,30,Cessna 208,10,No,High
03-01-2016,15:29:06,Sydney,Rescue Ops,F6246,International,Boeing 747,REG51015,CN523,24,72,7,Engine failure mid-air.,Clear,17,30,Antonov An-225,10,Yes,Medium
06-08-1999,7:24:36,London,Rescue Ops,F6530,Training,Cessna 172,REG94108,CN857,252,58,5,Bird strike reported.,Rain,9,45,Antonov An-225,6,Yes,Low
01-09-1976,21:03:48,New York,Rescue Ops,F3252,International,F-16 Falcon,REG29795,CN109,112,64,14,Bird strike reported.,Clear,40,45,Antonov An-225,22,No,Low
05-08-1970,17:35:26,New York,Private - AeroClub,F9673,Training,Airbus A320,REG47576,CN117,258,89,13,Engine failure mid-air.,Clear,7,30,Airbus A380,8,Yes,High
19-10-2001,8:50:25,New York,Commercial - AirFly,F7652,Cargo,Airbus A320,REG41877,CN813,116,38,2,Crash during landing.,Clear,26,15,Antonov An-225,18,No,Low
06-11-1970,22:10:05,Delhi,Rescue Ops,F6427,Domestic,Airbus A320,REG15577,CN335,109,88,18,Crash during takeoff.,Storm,3,0,Cessna 208,29,Yes,Medium
20-03-1998,0:13:37,London,Rescue Ops,F2260,Training,Wright Flyer,REG83919,CN346,291,49,17,Bird strike reported.,Fog,9,60,Boeing 737,17,No,Low
06-10-1978,13:14:53,New York,Commercial - AirFly,F7499,Training,F-16 Falcon,REG93115,CN379,231,62,7,Bird strike reported.,Snow,25,15,Airbus A380,22,No,Low
01-07-1996,7:45:04,New York,Commercial - AirFly,F3526,Cargo,Wright Flyer,REG61068,CN424,185,13,2,Crash during landing.,Storm,29,10,Cessna 208,4,Yes,Low
24-10-1986,13:28:35,Paris,Cargo Air,F7685,Domestic,F-16 Falcon,REG21746,CN462,284,11,19,Mid-air collision.,Storm,25,0,Cessna 208,14,No,Low
13-03-2020,7:36:33,London,Rescue Ops,F3777,International,Boeing 747,REG49469,CN374,253,18,2,Engine failure mid-air.,Fog,18,15,Cessna 208,16,Yes,High
31-07-1992,7:46:40,Delhi,Cargo Air,F4203,Cargo,F-16 Falcon,REG27758,CN411,4,50,10,Mid-air collision.,Fog,22,15,Cessna 208,14,Yes,High
08-10-1998,19:44:12,Delhi,Commercial - AirFly,F3910,Cargo,Boeing 747,REG48200,CN852,252,73,7,Bird strike reported.,Fog,18,60,Antonov An-225,12,Yes,Medium
18-02-2023,17:11:43,Paris,Private - AeroClub,F8563,International,Cessna 172,REG48185,CN951,36,52,15,Engine failure mid-air.,Storm,16,10,Airbus A380,23,No,Critical
20-08-1976,14:38:30,Paris,Rescue Ops,F9755,Cargo,Airbus A320,REG14818,CN909,185,89,17,Mid-air collision.,Clear,7,60,Airbus A380,22,No,Medium
22-12-1973,18:41:43,Sydney,Rescue Ops,F6432,Cargo,F-16 Falcon,REG11382,CN200,133,28,16,Mid-air collision.,Snow,38,45,Airbus A380,15,No,Critical
18-07-2011,21:37:44,Paris,Military - U.S. Army,F6651,Domestic,Cessna 172,REG23703,CN402,213,10,3,Engine failure mid-air.,Storm,20,10,Antonov An-225,26,Yes,Critical
01-04-2001,15:06:28,Sydney,Rescue Ops,F6225,Domestic,Boeing 747,REG15856,CN929,59,2,10,Crash during landing.,Rain,16,30,Airbus A380,18,Yes,High
24-03-2020,13:29:14,Delhi,Military - U.S. Army,F4053,Cargo,Cessna 172,REG13826,CN855,102,57,18,Crash during takeoff.,Fog,1,45,Airbus A380,7,No,Low
18-10-2021,3:51:55,Paris,Military - U.S. Army,F6993,Training,Wright Flyer,REG69972,CN216,135,85,15,Mid-air collision.,Storm,39,15,Antonov An-225,19,Yes,High
30-07-2001,14:39:11,Sydney,Commercial - AirFly,F2388,International,Boeing 747,REG25448,CN344,157,14,5,Bird strike reported.,Rain,33,15,Antonov An-225,20,Yes,Critical
15-12-2007,5:31:40,Paris,Military - U.S. Army,F3733,Cargo,Boeing 747,REG28388,CN291,162,57,19,Crash during landing.,Storm,1,15,Airbus A380,7,No,Critical
15-09-2006,21:31:26,Sydney,Rescue Ops,F9006,International,F-16 Falcon,REG84107,CN131,113,37,1,Bird strike reported.,Rain,35,10,Airbus A380,25,No,Critical
27-04-2019,16:07:36,New York,Commercial - AirFly,F9898,Training,Airbus A320,REG15453,CN878,226,69,6,Crash during takeoff.,Clear,16,10,Boeing 737,15,No,High
21-10-1977,14:55:07,London,Military - U.S. Army,F6744,Cargo,Wright Flyer,REG90760,CN242,106,26,1,Mid-air collision.,Storm,35,10,Airbus A380,11,No,High
20-05-2021,8:54:32,Sydney,Private - AeroClub,F3221,Cargo,F-16 Falcon,REG46349,CN987,65,89,4,Engine failure mid-air.,Rain,21,60,Airbus A380,25,No,Critical
03-10-1982,18:40:17,Sydney,Rescue Ops,F7146,Cargo,F-16 Falcon,REG93050,CN913,48,51,16,Bird strike reported.,Storm,30,15,Cessna 208,19,Yes,Low
17-02-2011,20:42:44,Tokyo,Private - AeroClub,F9756,Cargo,Wright Flyer,REG66314,CN944,109,63,8,Bird strike reported.,Storm,22,30,Airbus A380,19,No,High
06-05-1974,1:06:40,Delhi,Private - AeroClub,F3035,International,Cessna 172,REG69836,CN100,220,25,4,Bird strike reported.,Rain,18,0,Cessna 208,9,Yes,High
06-11-1984,1:25:40,Tokyo,Military - U.S. Army,F8032,Domestic,F-16 Falcon,REG10142,CN318,245,9,4,Mid-air collision.,Rain,34,45,Antonov An-225,1,Yes,High
26-10-1980,13:44:08,Delhi,Private - AeroClub,F4751,Cargo,F-16 Falcon,REG23425,CN205,161,47,9,Engine failure mid-air.,Fog,9,45,Airbus A380,3,Yes,Medium
26-06-2009,11:46:13,Sydney,Military - U.S. Army,F7745,Cargo,Wright Flyer,REG21362,CN202,72,96,3,Mid-air collision.,Fog,23,15,Cessna 208,26,Yes,Medium
06-11-1994,20:05:15,Paris,Cargo Air,F5668,Domestic,Boeing 747,REG36928,CN630,261,24,12,Bird strike reported.,Clear,16,15,Antonov An-225,4,Yes,Critical
